business_age,education_years,age,female,nature_value,tourism_value,value_ha_cattle,value_ha_timber,d_compost,tourism_incomes,agro_incomes,otherjobs_incomes,pensions_incomes,leases_incomes,dividens_incomes,charity_incomes,other_incomes,food_expend,clean_expend,transport_expend,rent_expend,services_expend,recreation_expend,durables_expend,remittances_expend,health_expend,education_expend,taxes_expend,other_expend
19.666666,13,58,1,5,5,.2,5.5,1,1,0,0,0,0,0,0,0,.69999999,.2,.050000001,0,.2,.079999998,2,.2,.059999999,0,0,.15000001
10,14,32,1,5,4,.2,5.5,1,.059999999,.15000001,0,0,0,0,0,0,.12,.02,.015,0,0,0,0,0,0,.017000001,0,0
3,2,52,0,5,5,.079999998,5.5,1,.079999998,.52999997,0,0,0,0,0,0,.37,.029999999,.050000001,0,.075000003,0,.041999999,0,0,0,8.0000000e-06,0
4.5,17,59,1,5,5,.2,5.5,1,0,0,0,0,1.5,0,0,0,.40000001,.1,.2,0,.23,0,0,.5,.035,0,.23,0
4.8333335,13,55,1,5,5,.2,5.5,1,.30000001,.1,.1,0,0,0,0,0,.25,.050000001,.079999998,0,.079999998,.02,.029999999,.25,.0099999998,0,.012,0
4.5,13,20,1,5,5,.2,5.5,1,1,0,0,0,0,0,0,0,.5,.1,.079999998,0,.079999998,.12,.2,0,.5,.2,0,0
10,16,55,0,4,5,.2,5.5,0,.2,0,7.5,0,0,0,0,0,1.5,.40000001,.2,0,.13500001,0,.17,1.5,.07,1.72,0,0
3,15,33,0,5,5,.2,5.5,1,1.2,0,0,0,0,0,0,1.2,.60000002,.1,.1,0,.2,.1,.050000001,0,.2,0,0,.5
13.083333,17,50,0,5,3,.2,5.5,0,0,0,4,0,0,0,0,0,.80000001,.2,.2,1,.2,.30000001,0,0,.2,.60000002,0,0
8,11,33,0,5,3,.2,5.5,1,.23999999,.050000001,0,0,0,0,0,0,.25,.1,.0099999998,0,.02,0,.017000001,0,0,0,.0044999998,0
20,3,56,1,5,5,.2,5,0,.40000001,.5,0,0,0,0,0,0,.60000002,.1,.1,0,.064999998,.050000001,.039999999,0,.055,0,0,0
2.0833333,11,50,1,5,5,.2,5.5,1,.12,0,.40000001,0,0,0,0,0,.30000001,.07,.050000001,0,.074000001,0,.090999998,0,.25999999,0,0,0
4.5,14,56,0,5,4,.2,5.5,1,.050000001,0,.5,0,0,0,0,0,.5,.050000001,.2,0,.02,0,.015,0,0,.5,.0099999998,0
1.8333334,16,58,1,5,5,.2,5.5,1,1.2,0,0,0,0,0,0,0,1,.1,0,0,.050000001,.5,.1,.30000001,.2,0,0,.26499999
18,3,45,1,5,3,.2,5.5,1,.30000001,0,.30000001,0,0,0,0,0,.5,.050000001,0,0,0,.1,.050000001,0,0,0,0,0
5.9166665,14,39,0,5,5,.2,5.5,1,1.755,0,0,0,0,0,0,0,.40000001,.30000001,0,.5,.1,0,.1,0,.050000001,0,0,0
.66666669,13,22,0,5,5,.2,5.5,0,.98699999,0,0,0,0,0,0,0,.25,.050000001,.039999999,.25,.1,.039999999,.02,.15000001,.12,0,0,.050000001
7,17,46,1,5,5,.2,5.5,1,2,0,0,0,0,0,0,0,.30000001,.1,.059999999,0,0,0,.1,0,.064999998,0,.032000002,0
4.5,13,25,1,5,5,.2,5.5,0,0,0,.94999999,0,0,0,0,0,.40000001,.2,.1,0,.40000001,.18000001,.059999999,0,.07,.13,0,0
8,5,46,1,4,5,.2,5.5,1,.30000001,0,0,0,0,0,0,0,.2,.050000001,.1,0,.026000001,.02,0,0,0,.0099999998,0,0
3.1666667,5,37,0,5,3,.1,5.5,1,0,.42500001,0,0,0,0,0,0,.25,.07,.090000004,0,.0070000002,.079999998,.071000002,0,0,.027000001,0,0
6,13,54,1,5,5,.2,5.5,1,0,.89999998,0,0,0,0,0,0,.2,.050000001,.029999999,0,.090000004,0,0,0,0,0,.092,0
5,16,41,1,5,5,.2,5.5,1,.34999999,0,0,0,0,0,0,0,.2,.1,.30000001,0,.18000001,.1,.083999999,.2,.082000002,0,.2,0
6,17,51,1,5,5,.2,5.5,1,1.8,0,0,0,0,0,0,0,.40000001,.1,.079999998,0,.079999998,.050000001,.079999998,0,.035,.02,0,0
5,6,57,1,5,5,.2,5.5,1,.2,0,.5,0,0,0,0,0,.5,.1,.2,0,.11,.02,.050000001,0,0,.035,.02,0
4.5,16,41,1,5,5,.2,5.5,1,.2,0,.80000001,0,0,0,0,0,.2,.1,.1,0,.2,.050000001,.050000001,0,.1,.050000001,0,1
2.3333333,11,55,0,5,5,.60000002,.5,1,0,.40000001,.2,0,0,0,0,0,.30000001,.029999999,.059999999,0,0,0,.017999999,0,.0099999998,.02,0,0
12.25,16,40,0,5,1,2,6,1,1.1,0,.884,0,0,0,0,0,.40000001,.1,0,0,.15000001,.2,.25,0,.25,.1,0,0
7,13,47,1,5,5,.2,5.5,1,.60000002,0,0,0,.5,0,0,0,.60000002,.1,.2,0,.029999999,.050000001,.050000001,0,.02,.07,0,.15000001
1,11,41,1,5,5,.2,5.5,0,.050000001,0,2,0,0,0,0,0,.60000002,.15000001,.050000001,0,.30000001,.1,.1,0,.23,.60000002,.12,.30000001
3.6666667,11,61,0,5,5,.059500001,5.5,1,.2,.2,0,0,1,0,0,0,.40000001,.050000001,.050000001,0,.0099999998,0,.0167,.050000001,.02,0,.050000001,0
6,10,59,1,5,5,.2,5.5,0,2,.041999999,0,0,0,0,0,0,.34999999,.07,.18000001,0,.1,.1,.125,.02,.050000001,.039999999,.025,.039999999
.75,11,50,1,4,5,.2,8,0,.34999999,0,.85000002,0,0,0,.041999999,0,.40000001,.15000001,.1,0,.028000001,.059999999,.1,.1,.059999999,.30000001,0,.14
3,11,50,0,5,5,.050000001,5.5,1,.87699997,0,12,0,0,0,0,0,.80000001,.15000001,.30000001,0,.60000002,.30000001,.5,0,.80000001,.40000001,.2,.40000001
4,11,54,1,5,5,.2,5.5,1,.5,0,0,0,0,0,.2,0,.34999999,.039999999,.050000001,0,.11,0,.050000001,0,0,.015,0,0
12.416667,11,47,1,5,5,.2,5.5,1,1.2,0,1.9,0,0,0,0,0,1.2,.079999998,.2,0,.125,.050000001,.15000001,.69999999,.050000001,.5,0,.1
4.5,16,31,0,5,5,.2,5.5,1,1,0,1,0,.15000001,0,0,0,.2,.1,.2,0,.30000001,1,.1,.2,.089000002,0,.07,0
20,11,54,0,5,5,.2,5.5,1,.2,.40000001,0,0,0,0,0,0,.15000001,.039999999,0,0,.013,.02,.050000001,0,0,0,.0024999999,.066
4.25,13,53,1,5,5,.2,5.5,0,.07,0,.15000001,0,0,0,.039999999,0,.60000002,.12,.324,.2,.12,.059999999,.12,0,.059999999,.15000001,.024,0
1.9166666,16,32,0,5,5,.2,5.5,1,.60000002,.667,0,0,0,0,1,0,.55000001,.029999999,.050000001,0,.1,.23999999,.1,0,0,.47999999,.067000002,0
11,17,39,1,5,5,.2,5.5,1,1.3,0,0,0,0,0,0,0,.41999999,.15000001,.1,0,.28,0,.15000001,0,.050000001,.23999999,.1,0
4.5,14,47,1,5,5,.2,5.5,1,.40000001,0,0,0,0,0,0,0,.30000001,.12,0,.5,.085000001,.059999999,.050000001,0,.035,.050000001,0,0
1,11,62,0,5,5,.2,5.5,1,0,.40000001,0,0,0,0,0,0,.25,.029999999,.029999999,0,.077,0,.0125,0,.0049999999,0,.042300001,0
44,5,54,1,5,4,.2,5.5,1,.1,0,.039999999,0,0,0,0,0,.23999999,.052000001,.029999999,0,.074000001,.1,.125,.2,.0020000001,.050000001,.017000001,0
6,17,31,1,5,5,.2,5.5,1,.2,0,0,0,0,0,0,0,.34999999,.1,.090000004,.2,.1,.30000001,.082999997,0,.271,.34999999,0,.5
4.5,13,54,0,5,5,.2,5.5,1,.40000001,0,0,0,0,0,0,0,.2,.02,.02,0,0,.02,.14,0,0,0,0,0
